,math score,reading score,writing score
189,77,88,87
334,83,93,95
729,53,39,37
830,61,60,57
306,99,87,81
394,65,74,77
128,82,82,74
262,44,50,51
86,76,83,88
199,78,79,76
159,66,62,64
373,82,97,96
472,68,86,84
293,65,73,75
453,65,58,49
493,81,88,90
966,66,68,64
303,80,76,64
220,56,68,74
286,97,82,88
999,77,86,86
492,83,83,90
846,91,85,85
698,57,78,79
329,41,55,51
300,81,78,81
833,77,82,89
420,82,93,93
277,59,63,75
79,62,68,68
646,59,70,65
931,62,57,62
940,72,66,72
566,92,100,100
885,62,76,80
264,76,73,68
421,57,58,64
238,54,52,51
156,66,74,78
312,67,61,68
327,28,23,19
923,54,65,65
665,50,60,60
193,77,62,62
745,72,79,74
26,69,54,55
821,78,90,93
743,59,73,72
835,60,64,74
742,81,84,82
248,65,64,62
208,74,81,76
403,88,99,100
478,55,64,70
738,81,71,73
614,82,93,93
288,88,75,76
500,74,79,82
370,84,77,71
747,69,64,68
826,56,68,70
6,88,95,92
377,85,95,100
45,65,54,57
456,79,89,89
726,65,75,77
443,73,83,76
587,44,63,62
870,59,58,47
100,79,67,67
92,71,79,71
439,89,88,82
983,78,87,91
428,65,59,53
484,49,52,54
203,57,69,68
525,68,60,59
383,38,49,45
735,67,57,59
658,43,60,58
552,40,48,50
104,98,86,90
483,59,52,46
633,75,88,85
38,75,90,88
313,68,67,69
236,63,66,67
896,36,29,27
2,90,95,93
898,67,54,63
750,71,69,68
970,89,100,100
367,61,66,61
881,71,70,70
960,56,58,64
531,47,54,53
675,50,64,66
391,77,68,77
791,60,66,70
594,92,100,99
749,87,84,86
703,63,64,67
224,52,66,73
554,53,45,40
962,100,100,100
629,44,51,55
818,60,72,68
610,69,60,63
46,55,65,62
185,65,67,65
606,85,84,82
353,46,58,57
354,59,71,70
985,57,51,54
130,89,84,82
957,92,100,100
416,71,74,68
460,53,58,55
581,77,79,80
730,68,77,80
158,61,86,87
806,64,74,75
21,65,75,70
883,55,46,44
913,47,62,66
381,87,100,95
84,42,39,34
328,82,75,77
773,62,78,79
699,66,66,59
91,27,34,36
816,45,59,64
122,88,93,93
405,63,73,68
287,67,89,82
304,74,75,83
505,82,82,80
878,59,72,80
822,49,52,51
866,59,53,52
903,93,100,100
557,61,67,66
51,77,69,68
457,53,54,48
676,73,78,76
625,100,97,99
16,88,89,86
94,79,86,92
968,68,76,67
996,62,55,55
212,42,62,60
102,85,91,89
489,79,82,82
893,88,74,75
134,74,79,75
947,49,58,60
323,43,53,53
990,86,81,75
209,58,61,66
872,82,84,78
707,66,59,52
